Ag,Al,La,Phase,,,,,,,,,
0,54,46,CR,,,,,,,,,
0,63,37,CR,,,,,,,,,
0,70,30,CR,,,,,,,,,
0,71,29,CR,,,,,,,,,
0,76,24,CR,,,,,,,,,
0,90,10,CR,,,,,,,,,
11,38,51,CR,,,,,,,,,
13,32,55,CR,,,,,,,,,
15,49,36,CR,,,,,,,,,
15,83,2,CR,,,,,,,,,
17,20,63,CR,,,,,,,,,
17,41,42,CR,,,,,,,,,
22,51,27,CR,,,,,,,,,
23,10,67,CR,,,,,,,,,
24,31,45,CR,,,,,,,,,
25,25,50,CR,,,,,,,,,
26,23,51,CR,,,,,,,,,
27,31,42,CR,,,,,,,,,
27,73,0,CR,,,,,,,,,
28,45,27,CR,,,,,,,,,
31,49,20,CR,,,,,,,,,
31,55,14,CR,,,,,,,,,
32,66,2,CR,,,,,,,,,
37,6,57,CR,,,,,,,,,
42,0,58,CR,,,,,,,,,
48,0,52,CR,,,,,,,,,
48,52,0,CR,,,,,,,,,
49,29,22,CR,,,,,,,,,
50,0,50,CR,,,,,,,,,
51,13,36,CR,,,,,,,,,
52,0,48,CR,,,,,,,,,
55,0,45,CR,,,,,,,,,
58,32,10,CR,,,,,,,,,
61,0,39,CR,,,,,,,,,
62,30,8,CR,,,,,,,,,
63,0,37,CR,,,,,,,,,
63,8,29,CR,,,,,,,,,
67,0,33,CR,,,,,,,,,
70,0,30,CR,,,,,,,,,
84,0,16,CR,,,,,,,,,
31,31,38,AM,,,,,,,,,
Ag,Cu,Ge,Phase,,,,,,,,,
37.5,37.5,25,AM,,,,,,,,,
38.75,38.75,22.5,AM,,,,,,,,,
40,40,20,AM,,,,,,,,,
25,25,50,AM,,,,,,,,,
50,50,0,AM,,,,,,,,,
5,5,90,AM,,,,,,,,,
10,10,80,AM,,,,,,,,,
15,15,70,AM,,,,,,,,,
20,20,60,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
35,35,30,AM,,,,,,,,,
42.5,42.5,15,AM,,,,,,,,,
45,45,10,AM,,,,,,,,,
47.5,47.5,5,AM,,,,,,,,,
Ag,Cu,Mg,Phase,,,,,,,,,
35,35,30,AM,,,,,,,,,
Ag,Mg,Y,Phase,,,,,,,,,
0,84,16,AM,,,,,,,,,
5,80,15,AM,,,,,,,,,
10,60,30,AM,,,,,,,,,
10,70,20,AM,,,,,,,,,
10,80,10,AM,,,,,,,,,
15,80,5,AM,,,,,,,,,
20,30,50,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
20,70,10,AM,,,,,,,,,
25,60,15,AM,,,,,,,,,
25,65,10,AM,,,,,,,,,
25,70,5,AM,,,,,,,,,
30,30,40,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
30,50,20,AM,,,,,,,,,
30,55,15,AM,,,,,,,,,
30,60,10,AM,,,,,,,,,
40,30,30,AM,,,,,,,,,
40,40,20,AM,,,,,,,,,
40,50,10,AM,,,,,,,,,
50,30,20,AM,,,,,,,,,
0,80,20,AC,,,,,,,,,
0,87.5,12.5,AC,,,,,,,,,
5,85,10,AC,,,,,,,,,
10,50,40,AC,,,,,,,,,
10,85,5,AC,,,,,,,,,
20,20,60,AC,,,,,,,,,
50,20,30,AC,,,,,,,,,
60,20,20,AC,,,,,,,,,
0,75,25,CR,,,,,,,,,
0,90,10,CR,,,,,,,,,
0,95,5,CR,,,,,,,,,
5,90,5,CR,,,,,,,,,
30,20,50,CR,,,,,,,,,
40,20,40,CR,,,,,,,,,
50,40,10,CR,,,,,,,,,
Al,Au,La,Phase,,,,,,,,,
25,20,55,AM,,,,,,,,,
Al,Ca,Co,Phase,,,,,,,,,
85,10,5,AM,,,,,,,,,
89,11,0,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
Al,Be,Ti,Phase,,,,,,,,,
2.5,35,62.5,AM ,,,,,,,,,
5,30,65,AM,,,,,,,,,
Al,Ca,Co,Phase,,,,,,,,,
85,10,5,AM,,,,,,,,,
89,11,0,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
Al,Ca,Cu,Phase,,,,,,,,,
85,10,5,AM,,,,,,,,,
89,11,0,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
Al,Ca,Fe,Phase,,,,,,,,,
87.5,7.5,5,AM ,,,,,,,,,
90,7.5,2.5,AM,,,,,,,,,
85,10,5,AC,,,,,,,,,
87.5,10,2.5,AC,,,,,,,,,
90,10,0,AC,,,,,,,,,
92.5,2.5,5,CR,,,,,,,,,
92.5,7.5,0,CR,,,,,,,,,
90,5,5,OT,,,,,,,,,
85,10,5,AM,,,,,,,,,
89,11,0,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
Al,Ca,Ga,Phase,,,,,,,,,
10,60,30,AM,,,,,,,,,
20,60,20,AM,,,,,,,,,
30,60,10,AM,,,,,,,,,
40,60,0,AM,,,,,,,,,
Al,Ca,Mg,Phase,,,,,,,,,
15,70,15,AM,,,,,,,,,
22.5,70,7.5,AM,,,,,,,,,
30,70,0,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
89,11,0,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
20,10,70,AM,,,,,,,,,
Al,Ca,Ni,Phase,,,,,,,,,
85,10,5,AM,,,,,,,,,
87.5,7.5,5,AM,,,,,,,,,
90,7.5,2.5,AM,,,,,,,,,
87.5,10,2.5,AC,,,,,,,,,
90,10,0,AC,,,,,,,,,
90,0,10,CR,,,,,,,,,
92.5,2.5,5,CR,,,,,,,,,
92.5,7.5,0,CR,,,,,,,,,
80,10,10,OT,,,,,,,,,
85,5,10,OT,,,,,,,,,
87.5,2.5,10,OT,,,,,,,,,
88.75,1.25,10,OT,,,,,,,,,
90,5,5,OT,,,,,,,,,
89,11,0,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
Al,Ca,Zn,Phase,,,,,,,,,
85,10,5,AM,,,,,,,,,
89,11,0,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
Al,Ce,Co,Phase,,,,,,,,,
80,5,15,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
83,5,12,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
87,8,5,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
88,10,2,AM,,,,,,,,,
90,3,7,AM,,,,,,,,,
90,5,5,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
93,7,0,AM,,,,,,,,,
88,12,0,AC,,,,,,,,,
89,11,0,AC,,,,,,,,,
75,5,20,CR,,,,,,,,,
75,10,15,CR,,,,,,,,,
75,15,10,CR,,,,,,,,,
77,10,13,CR,,,,,,,,,
80,15,5,CR,,,,,,,,,
87,13,0,CR,,,,,,,,,
90,0,10,CR,,,,,,,,,
94,4,2,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
95,2,3,CR,,,,,,,,,
Al,Ce,Cr,Phase,,,,,,,,,
85,10,5,AM,,,,,,,,,
87,10,3,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
93,7,0,AM,,,,,,,,,
88,12,0,AC,,,,,,,,,
89,8,3,AC,,,,,,,,,
89,11,0,AC,,,,,,,,,
80,10,10,CR,,,,,,,,,
80,15,5,CR,,,,,,,,,
83,10,7,CR,,,,,,,,,
87,8,5,CR,,,,,,,,,
87,13,0,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
93,2,5,OT,,,,,,,,,
94,2,4,OT,,,,,,,,,
Al,Ce,Cu,Phase,,,,,,,,,
75,10,15,AM,,,,,,,,,
80,5,15,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
83,7,10,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
87,8,5,AM,,,,,,,,,
88,10,2,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
93,7,0,AM,,,,,,,,,
88,5,7,AC,,,,,,,,,
88,12,0,AC,,,,,,,,,
89,11,0,AC,,,,,,,,,
90,5,5,AC,,,,,,,,,
70,10,20,CR,,,,,,,,,
70,15,15,CR,,,,,,,,,
75,5,20,CR,,,,,,,,,
75,15,10,CR,,,,,,,,,
80,15,5,CR,,,,,,,,,
83,2,15,CR,,,,,,,,,
87,13,0,CR,,,,,,,,,
88,2,10,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
6,10,84,AM,,,,,,,,,
8,8,84,AM,,,,,,,,,
8,10,82,AM,,,,,,,,,
10,8,82,AM,,,,,,,,,
12,8,80,AM,,,,,,,,,
2,8,90,AC,,,,,,,,,
2,10,88,AC,,,,,,,,,
4,8,88,AC,,,,,,,,,
4,10,86,AC,,,,,,,,,
6,6,88,AC,,,,,,,,,
6,8,86,AC,,,,,,,,,
8,6,86,AC,,,,,,,,,
10,4,86,AC,,,,,,,,,
10,6,84,AC,,,,,,,,,
2,6,92,CR,,,,,,,,,
4,4,92,CR,,,,,,,,,
6,4,90,CR,,,,,,,,,
10,2,88,CR,,,,,,,,,
10,10,80,CR,,,,,,,,,
12,6,82,CR,,,,,,,,,
12,10,78,CR,,,,,,,,,
14,6,80,CR,,,,,,,,,
14,8,78,CR,,,,,,,,,
14,10,76,CR,,,,,,,,,
Al,Ce,Fe,Phase,,,,,,,,,
80,10,10,AM,,,,,,,,,
83,7,10,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
87,8,5,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
88,10,2,AM,,,,,,,,,
90,3,7,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
93,7,0,AM,,,,,,,,,
75,15,10,AC,,,,,,,,,
88,12,0,AC,,,,,,,,,
89,11,0,AC,,,,,,,,,
75,10,15,CR,,,,,,,,,
80,15,5,CR,,,,,,,,,
84,2,14,CR,,,,,,,,,
87,13,0,CR,,,,,,,,,
89,1,10,CR,,,,,,,,,
94,2,4,CR,,,,,,,,,
94,4,2,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
90,5,5,AM,,,,,,,,,
94,2,4,OT,,,,,,,,,
Al,Ce,Mn,Phase,,,,,,,,,
85,10,5,AM,,,,,,,,,
86,10,4,AM,,,,,,,,,
88,10,2,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
93,7,0,AM,,,,,,,,,
83,10,7,AC,,,,,,,,,
87,8,5,AC,,,,,,,,,
88,12,0,AC,,,,,,,,,
89,6,5,AC,,,,,,,,,
89,11,0,AC,,,,,,,,,
80,10,10,CR,,,,,,,,,
85,5,10,CR,,,,,,,,,
87,13,0,CR,,,,,,,,,
88,2,10,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
93,2,5,OT,,,,,,,,,
94,2,4,OT,,,,,,,,,
Al,Ce,Nb,Phase,,,,,,,,,
80,10,10,AM,,,,,,,,,
83,7,10,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
87,8,5,AM,,,,,,,,,
88,10,2,AM,,,,,,,,,
90,8,2,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
92,6,2,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
93,7,0,AM,,,,,,,,,
77,10,13,AC,,,,,,,,,
88,12,0,AC,,,,,,,,,
89,11,0,AC,,,,,,,,,
75,15,10,CR,,,,,,,,,
80,15,5,CR,,,,,,,,,
85,5,10,CR,,,,,,,,,
87,13,0,CR,,,,,,,,,
90,5,5,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
Al,Ce,Ni,Phase,,,,,,,,,
60,10,30,AM,,,,,,,,,
65,5,30,AM,,,,,,,,,
70,10,20,AM,,,,,,,,,
75,5,20,AM,,,,,,,,,
80,10,10,AM,,,,,,,,,
84,6,10,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
85,6,9,AM,,,,,,,,,
85,10,5,AM,,,,,,,,,
86,6,8,AM,,,,,,,,,
87,6,7,AM,,,,,,,,,
87,13,0,AM,,,,,,,,,
88,2,10,AM,,,,,,,,,
88,12,0,AM,,,,,,,,,
89,11,0,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
93,7,0,AM,,,,,,,,,
88,12,0,AC,,,,,,,,,
89,11,0,AC,,,,,,,,,
80,15,5,CR,,,,,,,,,
87,13,0,CR,,,,,,,,,
90,0,10,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
61,10,29,AM,,,,,,,,,
65,15,20,AM,,,,,,,,,
70,15,15,AM,,,,,,,,,
75,10,15,AM,,,,,,,,,
80,5,15,AM,,,,,,,,,
82,8,10,AM,,,,,,,,,
86,4,10,AM,,,,,,,,,
87,5,8,AM,,,,,,,,,
89,10,1,AM,,,,,,,,,
70,20,10,AC,,,,,,,,,
90,5,5,AC,,,,,,,,,
60,20,20,CR,,,,,,,,,
88,12,0,CR,,,,,,,,,
95,5,0,CR,,,,,,,,,
25,55,20,AM,,,,,,,,,
91,5,4,AM,,,,,,,,,
Al,Ce,V,Phase,,,,,,,,,
88,10,2,AM,,,,,,,,,
90,10,0,AM,,,,,,,,,
91,9,0,AM,,,,,,,,,
92,8,0,AM,,,,,,,,,
93,7,0,AM,,,,,,,,,
88,8,4,AC,,,,,,,,,
88,12,0,AC,,,,,,,,,
89,6,5,AC,,,,,,,,,
89,11,0,AC,,,,,,,,,
80,10,10,CR,,,,,,,,,
85,10,5,CR,,,,,,,,,
85,13,2,CR,,,,,,,,,
87,13,0,CR,,,,,,,,,
94,6,0,CR,,,,,,,,,
94,2,4,OT,,,,,,,,,
Al,Co,Fe,Phase,,,,,,,,,
86,12,2,AM,,,,,,,,,
87,11,2,AM,,,,,,,,,
86,14,0,AC,,,,,,,,,
87,9,4,AC,,,,,,,,,
88,2,10,AC,,,,,,,,,
88,4,8,AC,,,,,,,,,
88,6,6,AC,,,,,,,,,
88,8,4,AC,,,,,,,,,
88,10,2,AC,,,,,,,,,
88,12,0,AC,,,,,,,,,
90,0,10,AC,,,,,,,,,
90,2,8,AC,,,,,,,,,
90,4,6,AC,,,,,,,,,
90,6,4,AC,,,,,,,,,
90,8,2,AC,,,,,,,,,
90,10,0,AC,,,,,,,,,
92,0,8,AC,,,,,,,,,
92,2,6,AC,,,,,,,,,
92,4,4,AC,,,,,,,,,
92,6,2,AC,,,,,,,,,
92,8,0,AC,,,,,,,,,
94,0,6,AC,,,,,,,,,
94,2,4,AC,,,,,,,,,
94,4,2,AC,,,,,,,,,
94,6,0,AC,,,,,,,,,
96,0,4,CR,,,,,,,,,
96,2,2,CR,,,,,,,,,
96,4,0,CR,,,,,,,,,
98,0,2,CR,,,,,,,,,
98,2,0,CR,,,,,,,,,
1,0,0,CR,,,,,,,,,
84,12,4,OT,,,,,,,,,
84,14,2,OT,,,,,,,,,
86,4,10,OT,,,,,,,,,
86,6,8,OT,,,,,,,,,
86,8,6,OT,,,,,,,,,
86,10,4,OT,,,,,,,,,
86,12,2,OT,,,,,,,,,
88,0,12,OT,,,,,,,,,
88,2,10,OT,,,,,,,,,
88,4,8,OT,,,,,,,,,
88,6,6,OT,,,,,,,,,
Al,Co,Ge,Phase,,,,,,,,,
42,10,48,AM,,,,,,,,,
57,18,25,AM,,,,,,,,,
69,6,25,AM,,,,,,,,,
78,10,12,AM,,,,,,,,,
Al,Co,La,Phase,,,,,,,,,
25,20,55,AM,,,,,,,,,
Al,Co,Mn,Phase,,,,,,,,,
88,8,4,AC,,,,,,,,,
88,10,2,AC,,,,,,,,,
88,12,0,AC,,,,,,,,,
90,6,4,AC,,,,,,,,,
90,8,2,AC,,,,,,,,,
90,10,0,AC,,,,,,,,,
92,4,4,AC,,,,,,,,,
92,6,2,AC,,,,,,,,,
92,8,0,AC,,,,,,,,,
94,4,2,AC,,,,,,,,,
94,6,0,AC,,,,,,,,,
94,0,6,CR,,,,,,,,,
94,2,4,CR,,,,,,,,,
96,0,4,CR,,,,,,,,,
96,2,2,CR,,,,,,,,,
96,4,0,CR,,,,,,,,,
98,0,2,CR,,,,,,,,,
98,2,0,CR,,,,,,,,,
1,0,0,CR,,,,,,,,,
84,12,4,OT,,,,,,,,,
84,14,2,OT,,,,,,,,,
86,8,6,OT,,,,,,,,,
86,10,4,OT,,,,,,,,,
86,12,2,OT,,,,,,,,,
86,14,0,OT,,,,,,,,,
88,6,6,OT,,,,,,,,,
90,2,8,OT,,,,,,,,,
90,4,6,OT,,,,,,,,,
92,0,8,OT,,,,,,,,,
92,2,6,OT,,,,,,,,,
Al,Co,Ni,Phase,,,,,,,,,
87,1,12,AM,,,,,,,,,
88,4,8,AM,,,,,,,,,
88,5,7,AM,,,,,,,,,
84,8,8,AC,,,,,,,,,
85,1,14,AC,,,,,,,,,
85,5,10,AC,,,,,,,,,
85,10,5,AC,,,,,,,,,
86,0,14,AC,,,,,,,,,
86,1,13,AC,,,,,,,,,
86,2,12,AC,,,,,,,,,
86,3,11,AC,,,,,,,,,
86,5,9,AC,,,,,,,,,
86,14,0,AC,,,,,,,,,
87,3,10,AC,,,,,,,,,
87,4,9,AC,,,,,,,,,
87,5,8,AC,,,,,,,,,
88,0,12,AC,,,,,,,,,
88,1,11,AC,,,,,,,,,
88,2,10,AC,,,,,,,,,
88,3,9,AC,,,,,,,,,
88,6,6,AC,,,,,,,,,
88,7,5,AC,,,,,,,,,
88,8,4,AC,,,,,,,,,
88,9,3,AC,,,,,,,,,
88,10,2,AC,,,,,,,,,
88,11,1,AC,,,,,,,,,
88,12,0,AC,,,,,,,,,
89,1,10,AC,,,,,,,,,
89,2,9,AC,,,,,,,,,
89,3,8,AC,,,,,,,,,
89,4,7,AC,,,,,,,,,
89,5,6,AC,,,,,,,,,
89,6,5,AC,,,,,,,,,
90,0,10,AC,,,,,,,,,
90,2,8,AC,,,,,,,,,
90,4,6,AC,,,,,,,,,
90,5,5,AC,,,,,,,,,
90,6,4,AC,,,,,,,,,
90,8,2,AC,,,,,,,,,
90,10,0,AC,,,,,,,,,
91,1,8,AC,,,,,,,,,
91,2,7,AC,,,,,,,,,
92,0,8,AC,,,,,,,,,
92,2,6,AC,,,,,,,,,
92,4,4,AC,,,,,,,,,
92,6,2,AC,,,,,,,,,
92,8,0,AC,,,,,,,,,
94,6,0,AC,,,,,,,,,
94,0,6,CR,,,,,,,,,
94,2,4,CR,,,,,,,,,
94,4,2,CR,,,,,,,,,
96,0,4,CR,,,,,,,,,
96,2,2,CR,,,,,,,,,
96,4,0,CR,,,,,,,,,
98,0,2,CR,,,,,,,,,
98,2,0,CR,,,,,,,,,
87,2,11,AM,,,,,,,,,
Al,Co,Zr,Phase,,,,,,,,,
0,90,10,AM,,,,,,,,,
2,88,10,AM,,,,,,,,,
5,85,10,AM,,,,,,,,,
25,20,55,AM,,,,,,,,,
Al,Cr,Ge,Phase,,,,,,,,,
38,10,52,AM,,,,,,,,,
61,10,29,AM,,,,,,,,,
60,10,30,AM,,,,,,,,,
65,20,15,QC,,,,,,,,,
Al,Cr,La,Phase,,,,,,,,,
25,20,55,AM,,,,,,,,,
Al,Cr,Zr,Phase,,,,,,,,,
20,10,70,AM,,,,,,,,,
Al,Cu,Fe,Phase,,,,,,,,,
75,20,5,AC,,,,,,,,,
77,18,5,AC,,,,,,,,,
64,23,13,QC,,,,,,,,,
65,20,15,QC,,,,,,,,,
67,18,15,QC,,,,,,,,,
71,17,12,QC,,,,,,,,,
60,20,20,CR,,,,,,,,,
65,15,20,CR,,,,,,,,,
60,23,17,OT,,,,,,,,,
60,25,15,OT,,,,,,,,,
65,25,10,OT,,,,,,,,,
70,10,20,OT,,,,,,,,,
70,15,15,OT,,,,,,,,,
70,20,10,OT,,,,,,,,,
95.3,3.4,1.3,OT,,,,,,,,,
63,25,12,QC,,,,,,,,,
63.5,24.5,12,CR,,,,,,,,,
70,20,10,CR,,,,,,,,,
62.5,25,12.5,QC,,,,,,,,,
58,34,8,QC,,,,,,,,,
60,34,6,QC,,,,,,,,,
62.5,25.5,12,QC,,,,,,,,,
63,24,13,QC,,,,,,,,,
63,26,11,QC,,,,,,,,,
64,24,12,QC,,,,,,,,,
Al,Cu,Fe,Phase,,,,,,,,,
65,15,20,AM,,,,,,,,,
71,14,15,AM,,,,,,,,,
90,5,5,AM,,,,,,,,,
62,21,17,AC,,,,,,,,,
69,18,13,AC,,,,,,,,,
70,16,14,AC,,,,,,,,,
73,14,13,AC,,,,,,,,,
78,15,7,AC,,,,,,,,,
50,30,20,CR,,,,,,,,,
64,23,13,CR,,,,,,,,,
62.5,25,12.5,QC,,,,,,,,,
65,20,15,QC,,,,,,,,,
Al,Cu,GD,Phase,,,,,,,,,
65,20,15,AM,,,,,,,,,
Al,Cu,Hf,Phase,,,,,,,,,
10,25,65,AM,,,,,,,,,
Al,Cu,La,Phase,,,,,,,,,
10,30,60,AM,,,,,,,,,
15,25,60,AM,,,,,,,,,
20,0,80,AM,,,,,,,,,
20,20,60,AM,,,,,,,,,
20,25,55,AM,,,,,,,,,
20,40,40,AM,,,,,,,,,
20,50,30,AM,,,,,,,,,
25,10,65,AM,,,,,,,,,
25,15,60,AM,,,,,,,,,
25,20,55,AM,,,,,,,,,
25,25,50,AM,,,,,,,,,
25,35,40,AM,,,,,,,,,
30,0,70,AM,,,,,,,,,
30,10,60,AM,,,,,,,,,
30,15,55,AM,,,,,,,,,
30,20,50,AM,,,,,,,,,
30,35,35,AM,,,,,,,,,
30,40,30,AM,,,,,,,,,
35,10,55,AM,,,,,,,,,
35,15,50,AM,,,,,,,,,
40,0,60,AM,,,,,,,,,
50,0,50,AM,,,,,,,,,
85,5,10,AM,,,,,,,,,
90,0,10,AM,,,,,,,,,
90,5,5,AM,,,,,,,,,
10,20,70,AC,,,,,,,,,
20,10,70,AC,,,,,,,,,
20,60,20,AC,,,,,,,,,
40,10,50,AC,,,,,,,,,
40,20,40,AC,,,,,,,,,
85,10,5,AC,,,,,,,,,
0,20,80,CR,,,,,,,,,
0,40,60,CR,,,,,,,,,
0,50,50,CR,,,,,,,,,
10,0,90,CR,,,,,,,,,
10,10,80,CR,,,,,,,,,
10,50,40,CR,,,,,,,,,
10,60,30,CR,,,,,,,,,
10,70,20,CR,,,,,,,,,
10,80,10,CR,,,,,,,,,
30,50,20,CR,,,,,,,,,
30,60,10,CR,,,,,,,,,
40,30,30,CR,,,,,,,,,
40,40,20,CR,,,,,,,,,
50,10,40,CR,,,,,,,,,
50,20,30,CR,,,,,,,,,
50,30,20,CR,,,,,,,,,
50,40,10,CR,,,,,,,,,
60,0,40,CR,,,,,,,,,
70,0,30,CR,,,,,,,,,
70,20,10,CR,,,,,,,,,
80,0,20,CR,,,,,,,,,
80,10,10,CR,,,,,,,,,
25,20,55,AM ,,,,,,,,,
Al,Cu,Mn,Phase,,,,,,,,,
65,20,15,AM,,,,,,,,,
66,20,14,AM,,,,,,,,,
67,20,13,AM,,,,,,,,,
75,0,25,AM,,,,,,,,,
77,0,23,AM,,,,,,,,,
81,0,19,AM,,,,,,,,,
85,0,15,AM,,,,,,,,,
25,50,25,CR,,,,,,,,,
65,20,15,QC,,,,,,,,,
76,8.5,15.5,QC,,,,,,,,,
Al,Cu,Nd,Phase,,,,,,,,,
6,84,10,AM,,,,,,,,,
6,86,8,AM,,,,,,,,,
8,84,8,AM,,,,,,,,,
10,82,8,AM,,,,,,,,,
12,80,8,AM,,,,,,,,,
2,88,10,AC,,,,,,,,,
2,90,8,AC,,,,,,,,,
2,92,6,AC,,,,,,,,,
4,86,10,AC,,,,,,,,,
4,88,8,AC,,,,,,,,,
4,90,6,AC,,,,,,,,,
6,88,6,AC,,,,,,,,,
8,86,6,AC,,,,,,,,,
10,84,6,AC,,,,,,,,,
10,86,4,AC,,,,,,,,,
12,82,6,AC,,,,,,,,,
12,84,4,AC,,,,,,,,,
4,92,4,CR,,,,,,,,,
8,82,10,CR,,,,,,,,,
8,88,4,CR,,,,,,,,,
10,80,10,CR,,,,,,,,,
10,88,2,CR,,,,,,,,,
12,78,10,CR,,,,,,,,,
14,76,10,CR,,,,,,,,,
14,78,8,CR,,,,,,,,,
14,80,6,CR,,,,,,,,,
14,82,4,CR,,,,,,,,,
Al,Cu,Ti,Phase,,,,,,,,,
0,35,65,AM,,,,,,,,,
0,40,60,AM,,,,,,,,,
0,45,55,AM,,,,,,,,,
